PURPLE PATCH FARMS (I) PVT LTD B.MANIHATTY,,,,
,1069586,,112823,9.5
8,PURCHASE ACCOUNTS,,,,,
,PURCHASE VEGETABLES,13134778.57,,,
,PURCHASE OTHERS,388797.36,,,
,13523576,,112823,119.9
,,,,,
,TOTAL EXPENSES,28248507.38,28248507,2547415.81,
,,,,,
,,,,,
INCOME,,,,,
,,,,,
SL.NO,PARTICULARS,AMOUNT,TOTAL VALUE,
1,TOTAL SALES,,,
,SALES,31078838,,,
,(-) SALES RETURN,379634,30699205,30699205
,,,,,
2,INDIRECT INCOME,,,
,CREDITORS WRITTEN OFF,,,
,DELIVERY CHARGES,182686,,,
,DISCOUNT,4186,,,
,PACKING & HANDLING CHARGES,19900,,,
,ROUND OFF,,,,
,SALES OF COLD STORAGE,,,,
,SCRAP ITEMS,,,,
,STRAWBERRY PLANTS - SALES,,,,
,OTHERS (VEHICLE ACCIDENT),206771,206771,
,,,,,
3,STOCK,,,
,STOCK,49466,49466,49466
,TOTAL INCOME,,30955441,30955441
,,,,,
,,,,,
,TOTAL INCOME,,,30955441.32
,TOTAL EXPENSES,,,2547415.81
,,,,,
,PROFIT/LOSS,,,28408025.51
,,,,,
,,,,,
,TOTAL SALES QUANTITY,Production Kg,Damage Kg,Sales Kg,Avg price,Total Value
,Strawberry,19464.9,385,19080,347,6620044
,Raspberry and Blueberry,8,,8,,24764
,Greens PH C,9769,,9769,173,1689613
,Greens PH D,,,0,,
,Greens PH E,3072,,3072,140,430423
,Open Farm,110,,110,,15092
,Aggregation(Stock+Purchase),123976,11153,112823,194,21919269
,Total,156400,11538,144862,212,30699205
,,,,,
,,,,,
,TOTAL PURCHASE QUANTITY,123976,11153,112823,,2120036
,TOTAL HARVEST QTY,32425,385,32039,,12841
,Total,156400,11538,144862,,165
,,,,,
,Items,COP,Avg Price,Margin,
,Strawberry,223.3,346,122.7,
,Greens,154.5,165,10.5,
,Aggregation,191.8,194,2.2,
